Source.Name;joueur;Position;Club;Numéro;Âge;Taille;Valeur de transfert
afrique_du_sud.csv;;Entraineur;Belgique;;74;180 cm;
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Hugo Broos;;;;;;
afrique_du_sud.csv;;GA;Mamelodi Sundowns FC;1;34;184 cm;607,2 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Ronwen Williams;;;;;;
afrique_du_sud.csv;;GA;Orlando Pirates;16;29;186 cm;738,4 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Sipho Chaine;;;;;;
afrique_du_sud.csv;;GA;Siwelele;22;32;181 cm;450 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Ricardo Goss;;;;;;
afrique_du_sud.csv;;DD, AD;Orlando Pirates;18;23;166 cm;551,7 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Kamogelo Sebelebele;;;;;;
afrique_du_sud.csv;;DD, DC;Mamelodi Sundowns FC;20;31;181 cm;493,2 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Khuliso Mudau;;;;;;
afrique_du_sud.csv;;DD;Polokwane City;25;27;189 cm;388,5 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Thabang Matuludi;;;;;;
afrique_du_sud.csv;;DC;Mamelodi Sundowns FC;3;22;183 cm;330,3 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Khulumani Ndamane;;;;;;
afrique_du_sud.csv;;DC;Hannover 96;5;22;187 cm;1,9 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Ime Okon;;;;;;
afrique_du_sud.csv;;DC;Chicago Fire FC;14;20;180 cm;705 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Mbekezeli Mbokazi;;;;;;
afrique_du_sud.csv;;DC;Orlando Pirates;19;30;177 cm;742,9 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Nkosinathi Sibisi;;;;;;
afrique_du_sud.csv;;DC;Philadelphia Union;24;22;188 cm;1,8 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Olwethu Makhanya;;;;;;
afrique_du_sud.csv;;DG;Mamelodi Sundowns FC;6;30;167 cm;803,5 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Aubrey Modiba;;;;;;
afrique_du_sud.csv;;DG;Molde;18;22;181 cm;1,9 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Samukele Kabini;;;;;;
afrique_du_sud.csv;;DG, DC;Kaizer Chiefs;26;25;183 cm;434,2 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Bradley Cross;;;;;;
afrique_du_sud.csv;;MD, MC, MO;Mamelodi Sundowns FC;4;29;176 cm;1,5 M €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Teboho Mokoena;;;;;;
afrique_du_sud.csv;;MD, MO;Orlando Pirates;5;26;180 cm;826,8 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Thalente Mbatha;;;;;;
afrique_du_sud.csv;;MD, MC;Tondela;13;27;188 cm;600 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Yaya Sithole;;;;;;
afrique_du_sud.csv;;MD, DC;Mamelodi Sundowns FC;23;25;175 cm;264 k €
afrique_du_sud.csv;;;;;;;
afrique_du_sud.csv;Jayden Adams;;;;;;
